started_at,finished_at,user_id,target_id,template_id,status,rows_returned
2026-02-28 12:25:35.075139+00,2026-02-28 12:25:35.141149+00,3b9e176a-95c3-40fb-8b07-5c5e4aa9be4d,d729e727-1192-4231-b5a9-a705b52747e6,821e8b47-7692-4a9e-8640-95bd92cda9c4,success,1
2026-02-28 12:25:11.077445+00,2026-02-28 12:25:11.150852+00,3b9e176a-95c3-40fb-8b07-5c5e4aa9be4d,d729e727-1192-4231-b5a9-a705b52747e6,821e8b47-7692-4a9e-8640-95bd92cda9c4,failed,0
2026-02-28 12:24:47.768525+00,2026-02-28 12:24:47.81904+00,3b9e176a-95c3-40fb-8b07-5c5e4aa9be4d,d729e727-1192-4231-b5a9-a705b52747e6,821e8b47-7692-4a9e-8640-95bd92cda9c4,failed,0
2026-02-28 12:23:21.957753+00,2026-02-28 12:23:22.053504+00,3b9e176a-95c3-40fb-8b07-5c5e4aa9be4d,d729e727-1192-4231-b5a9-a705b52747e6,821e8b47-7692-4a9e-8640-95bd92cda9c4,failed,0
